state,county,NAME,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
08,107,"Routt County, Colorado",24944,13144
08,109,"Saguache County, Colorado",6454,3274
08,111,"San Juan County, Colorado",690,371
08,113,"San Miguel County, Colorado",8082,4417
08,115,"Sedgwick County, Colorado",2391,1208
08,117,"Summit County, Colorado",30955,17012
08,119,"Teller County, Colorado",24758,12427
08,121,"Washington County, Colorado",4817,2547
08,123,"Weld County, Colorado",331466,168644
08,125,"Yuma County, Colorado",9938,5049
09,110,"Capitol Planning Region, Connecticut",977165,477460
09,120,"Greater Bridgeport Planning Region, Connecticut",326381,159824
09,130,"Lower Connecticut River Valley Planning Region, Connecticut",175244,86193
09,140,"Naugatuck Valley Planning Region, Connecticut",451887,220494
09,150,"Northeastern Connecticut Planning Region, Connecticut",95687,47915
09,160,"Northwest Hills Planning Region, Connecticut",112696,55997
09,170,"South Central Connecticut Planning Region, Connecticut",571298,276095
09,180,"Southeastern Connecticut Planning Region, Connecticut",280293,140310
09,190,"Western Connecticut Planning Region, Connecticut",620666,304908
10,001,"Kent County, Delaware",182400,88272
10,003,"New Castle County, Delaware",570567,277558
10,005,"Sussex County, Delaware",240668,117079
11,001,"District of Columbia, District of Columbia",670587,320797
12,001,"Alachua County, Florida",279729,135121
12,003,"Baker County, Florida",27969,14996
12,005,"Bay County, Florida",181055,90237
12,007,"Bradford County, Florida",27816,15418
12,009,"Brevard County, Florida",610723,300904
12,011,"Broward County, Florida",1940907,952900
12,013,"Calhoun County, Florida",13753,7715
12,015,"Charlotte County, Florida",189900,93505
12,017,"Citrus County, Florida",155173,76008
12,019,"Clay County, Florida",219650,108845
12,021,"Collier County, Florida",380221,188078
12,023,"Columbia County, Florida",69832,35762
12,027,"DeSoto County, Florida",34258,19234
12,029,"Dixie County, Florida",16737,9323
12,031,"Duval County, Florida",995708,484498
12,033,"Escambia County, Florida",321296,159191
12,035,"Flagler County, Florida",117515,56801
12,037,"Franklin County, Florida",12276,6827
12,039,"Gadsden County, Florida",43746,20875
12,041,"Gilchrist County, Florida",18070,9320
12,043,"Glades County, Florida",12179,6794
12,045,"Gulf County, Florida",15002,8629
12,047,"Hamilton County, Florida",13492,7721
12,049,"Hardee County, Florida",25528,14055
12,051,"Hendry County, Florida",39902,21905
12,053,"Hernando County, Florida",196621,95719
12,055,"Highlands County, Florida",102339,50232
12,057,"Hillsborough County, Florida",1468560,724235
12,059,"Holmes County, Florida",19529,10451
12,061,"Indian River County, Florida",160986,78378
12,063,"Jackson County, Florida",47704,25869
12,065,"Jefferson County, Florida",14458,7453
12,067,"Lafayette County, Florida",8107,4919
12,069,"Lake County, Florida",386829,188572
12,071,"Lee County, Florida",772902,380685
12,073,"Leon County, Florida",294128,139638
12,075,"Levy County, Florida",43268,21126
12,077,"Liberty County, Florida",7704,4317
12,079,"Madison County, Florida",17986,9439
12,081,"Manatee County, Florida",405069,196808
12,083,"Marion County, Florida",378225,182704
12,085,"Martin County, Florida",159399,78808
12,086,"Miami-Dade County, Florida",2688237,1318559
12,087,"Monroe County, Florida",82044,42677
12,089,"Nassau County, Florida",91538,45302
12,091,"Okaloosa County, Florida",212021,107993
12,093,"Okeechobee County, Florida",39870,21440
12,095,"Orange County, Florida",1427403,704643
12,097,"Osceola County, Florida",393745,195519
12,099,"Palm Beach County, Florida",1494805,729568
12,101,"Pasco County, Florida",569211,278905
12,103,"Pinellas County, Florida",959918,464021
12,105,"Polk County, Florida",736229,363269
12,107,"Putnam County, Florida",73604,36564
12,109,"St. Johns County, Florida",278722,136822
12,111,"St. Lucie County, Florida",334682,164702
12,113,"Santa Rosa County, Florida",188994,97011
12,115,"Sarasota County, Florida",439392,210554
12,117,"Seminole County, Florida",471321,229821
12,119,"Sumter County, Florida",131832,65425
12,121,"Suwannee County, Florida",43881,22980
12,123,"Taylor County, Florida",21421,12051
12,125,"Union County, Florida",15524,10059
12,127,"Volusia County, Florida",558520,274078
12,129,"Wakulla County, Florida",33732,18653
12,131,"Walton County, Florida",76618,38843
12,133,"Washington County, Florida",25014,13312
13,001,"Appling County, Georgia",18441,9309
13,003,"Atkinson County, Georgia",8265,4082
13,005,"Bacon County, Georgia",11138,5525
13,007,"Baker County, Georgia",2878,1450
13,009,"Baldwin County, Georgia",43778,22148
13,011,"Banks County, Georgia",18381,9338
13,013,"Barrow County, Georgia",84399,41722
13,015,"Bartow County, Georgia",109410,54685
13,017,"Ben Hill County, Georgia",17169,8075
13,019,"Berrien County, Georgia",18187,9046
13,021,"Bibb County, Georgia",156554,73881
13,023,"Bleckley County, Georgia",12413,6042
13,025,"Brantley County, Georgia",18105,8970
13,027,"Brooks County, Georgia",16275,7883
13,029,"Bryan County, Georgia",44995,22481
13,031,"Bulloch County, Georgia",79829,38876
