NAME,county,state,Total_Pop_2009,Total_Pop_2011,Total_Pop_2013,Total_Pop_2015,Total_Pop_2016,Total_Pop_2021,Total_Pop_25_to_29_2009,Total_Pop_25_to_29_2011,Total_Pop_25_to_29_2013,Total_Pop_25_to_29_2015,Total_Pop_25_to_29_2016,Total_Pop_25_to_29_2021,2009-2021 Total_Pop Change,2009-2021 Total_Pop % Change,2009-2021 Change Rank,2009-2021 Change Percentile,2009-2021 % Change Rank,2009-2021 % Change Percentile,2011-2021 Total_Pop Change,2011-2021 Total_Pop % Change,2011-2021 Change Rank,2011-2021 Change Percentile,2011-2021 % Change Rank,2011-2021 % Change Percentile,2013-2021 Total_Pop Change,2013-2021 Total_Pop % Change,2013-2021 Change Rank,2013-2021 Change Percentile,2013-2021 % Change Rank,2013-2021 % Change Percentile,2015-2021 Total_Pop Change,2015-2021 Total_Pop % Change,2015-2021 Change Rank,2015-2021 Change Percentile,2015-2021 % Change Rank,2015-2021 % Change Percentile,2016-2021 Total_Pop Change,2016-2021 Total_Pop % Change,2016-2021 Change Rank,2016-2021 Change Percentile,2016-2021 % Change Rank,2016-2021 % Change Percentile
"Goliad County, Texas",175,48,7006.0,7188.0,7281.0,7410.0,7463.0,7085.0,323.0,395.0,336.0,275.0,294.0,337.0,79.0,1.1276049100770846,1705.0,45.66326530612245,1628.0,48.11862244897959,-103.0,-1.4329437952142476,1671.0,46.76442460949952,1788.0,43.03474657315907,-196.0,-2.691937920615295,1814.0,42.22434671765456,2071.0,34.03441682600382,-325.0,-4.385964912280704,2137.0,31.996179560649473,2512.0,20.057306590257877,-378.0,-5.064987270534638,2278.0,27.507163323782237,2676.0,14.836039477873289
"Gonzales County, Texas",177,48,19510.0,19686.0,19920.0,20172.0,20370.0,19720.0,1100.0,1101.0,1107.0,1112.0,1206.0,1161.0,210.0,1.0763710917478297,1578.0,49.713010204081634,1640.0,47.7359693877551,34.0,0.17271157167531026,1489.0,52.56614599936245,1505.0,52.05610455849538,-200.0,-1.0040160642570295,1824.0,41.905672402804335,1719.0,45.25175270873167,-452.0,-2.240729724370416,2295.0,26.96593441579115,2075.0,33.970073225087546,-650.0,-3.1909671084928815,2535.0,19.32505571474053,2377.0,24.355300859598856
"Goochland County, Virginia",075,51,20429.0,21481.0,21565.0,21721.0,21979.0,24300.0,1214.0,945.0,823.0,769.0,867.0,1216.0,3871.0,18.948553526849075,743.0,76.33928571428571,261.0,91.70918367346938,2819.0,13.123225175736696,736.0,76.56997131016895,293.0,90.69174370417596,2735.0,12.682587526083932,678.0,78.4257488846399,207.0,93.43530911408541,2579.0,11.873302334146674,631.0,79.94269340974212,137.0,95.67016873607132,2321.0,10.560080076436606,639.0,79.68799745304044,134.0,95.76567971983445
"Goodhue County, Minnesota",049,27,45605.0,46051.0,46259.0,46377.0,46450.0,47503.0,2161.0,2499.0,2482.0,2456.0,2413.0,2576.0,1898.0,4.161824361363875,986.0,68.5905612244898,1216.0,61.256377551020414,1452.0,3.153025992920888,927.0,70.4813516098183,1050.0,66.5604080331527,1244.0,2.689206424695745,904.0,71.22370936902486,1028.0,67.27214786488209,1126.0,2.4279276365439806,872.0,72.26997771410379,1007.0,67.97198344476281,1053.0,2.2669537136706053,858.0,72.71569563833175,1008.0,67.94014645017509
"Gooding County, Idaho",047,16,14320.0,15285.0,15278.0,15233.0,15157.0,15422.0,696.0,916.0,886.0,824.0,817.0,801.0,1102.0,7.695530726256994,1143.0,63.58418367346938,831.0,73.53316326530613,137.0,0.8963035655871865,1386.0,55.84953777494421,1404.0,55.27574115396876,144.0,0.9425317449927917,1346.0,57.138304652645,1345.0,57.17017208413002,189.0,1.2407273682137454,1313.0,58.229863100923275,1260.0,59.91722381407195,265.0,1.7483670911130123,1251.0,60.20375676536135,1135.0,63.89684813753582
"Gordon County, Georgia",129,13,51760.0,54747.0,55409.0,55889.0,56079.0,57274.0,3807.0,3527.0,3403.0,3392.0,3715.0,3579.0,5514.0,10.65301391035549,641.0,79.59183673469387,612.0,80.51658163265306,2527.0,4.615778033499551,766.0,75.61364360854319,891.0,71.6289448517692,1865.0,3.3658791893013795,784.0,75.04780114722753,931.0,70.36328871892925,1385.0,2.4781262860312347,813.0,74.14836039477873,995.0,68.35402737981534,1195.0,2.130922448688466,818.0,73.98917542184019,1040.0,66.92136262336835
"Goshen County, Wyoming",015,56,12137.0,13064.0,13458.0,13544.0,13546.0,12642.0,413.0,639.0,763.0,812.0,782.0,710.0,505.0,4.1608305182499805,1384.0,55.89923469387755,1217.0,61.224489795918366,-422.0,-3.230251071647272,2111.0,32.738284985655085,2100.0,33.088938476251194,-816.0,-6.063308069549711,2485.0,20.84130019120459,2642.0,15.838113448056088,-902.0,-6.659775546367397,2627.0,16.396052212671126,2796.0,11.015600127347978,-904.0,-6.673556769526057,2680.0,14.708691499522445,2836.0,9.742120343839542
"Gosper County, Nebraska",073,31,1932.0,2046.0,2005.0,1976.0,1977.0,1811.0,63.0,109.0,90.0,85.0,86.0,62.0,-121.0,-6.262939958592129,1936.0,38.297193877551024,2680.0,14.572704081632654,-235.0,-11.485826001955035,1844.0,41.24960153012432,2971.0,5.323557539050048,-194.0,-9.67581047381546,1807.0,42.44741873804971,2930.0,6.660293180369663,-165.0,-8.3502024291498,1841.0,41.41992995861191,2923.0,6.972301814708691,-166.0,-8.396560445118872,1928.0,38.65011142948106,2954.0,5.985354982489653
"Gove County, Kansas",063,20,2599.0,2695.0,2835.0,2735.0,2682.0,2774.0,72.0,156.0,154.0,133.0,130.0,140.0,175.0,6.733358984224691,1602.0,48.94770408163265,928.0,70.44005102040816,79.0,2.9313543599257974,1442.0,54.06439273190947,1075.0,65.7634682817979,-61.0,-2.1516754850088193,1595.0,49.203314212874446,1971.0,37.22115997450606,39.0,1.4259597806215663,1481.0,52.88124801018784,1215.0,61.34988857051894,92.0,3.4302759134973826,1433.0,54.40942375039797,770.0,75.5173511620503
"Grady County, Georgia",131,13,24801.0,24916.0,25143.0,25243.0,25145.0,26076.0,1540.0,1587.0,1616.0,1601.0,1576.0,1365.0,1275.0,5.140921737026738,1093.0,65.17857142857143,1099.0,64.98724489795919,1160.0,4.655642960346773,969.0,69.14249282754224,886.0,71.78833280204017,933.0,3.7107743706001672,969.0,69.1523263224984,886.0,71.79732313575525,833.0,3.299924731608761,952.0,69.72301814708692,839.0,73.32059853549825,931.0,3.702525352952879,904.0,71.25119388729703,719.0,77.14103788602355
